,dAge,dMass,dSatXUVFrac,dSatXUVTime,dXUVBeta,dLRatioAge,dLXUVAge,dLbolAge,dRadiusAge,dTempAge
simulation_115,6.444043120649621,0.09011872791232356,-3.195155058221637,8.494221200653355,-1.0631949107110612,1567.0229106570687,3.580037e-07,0.000561,0.113148,2647.837781
simulation_116,7.757088480648378,0.1026471237119699,-2.958350985078429,3.452462847530747,-0.6321478195375758,1514.3639010077852,6.273261e-07,0.00095,0.126654,2843.90441
simulation_117,8.170758738984391,0.09166983472463644,-3.5003290333413615,7.223587434543923,-1.1079771131656355,3624.3087650921716,1.691357e-07,0.000613,0.115011,2682.186895
simulation_118,8.609195595397724,0.08752571315155591,-2.74832935618218,8.525620618971711,-1.254102734614519,566.1594324072526,8.3722e-07,0.000474,0.109608,2579.503387
simulation_119,3.955854214688405,0.07481049064802735,-2.7213565080023856,5.054077872265228,-1.4419827555087057,526.7395573882749,2.392074e-07,0.000126,0.091771,2024.640989
simulation_120,5.83094300675174,0.10437057392898537,-3.208675964102756,5.488529103912107,-1.0646935396858002,1724.8377849629715,5.791849e-07,0.000999,0.12827,2860.14621
simulation_121,5.650843193690196,0.10810560912079277,-3.0614845512871987,4.834798751297268,-0.8284243452537573,1310.2538893310636,8.502169e-07,0.001114,0.132294,2895.586549
simulation_122,9.258367940146526,0.08235804238849778,-3.188424238058471,11.471678335371578,-0.6664207505211104,1541.6201069923136,2.062765e-07,0.000318,0.101952,2419.157941
simulation_123,7.08658077711438,0.10990130639732557,-2.8811510404325986,9.809362928039882,-1.6475638462460929,760.7652773140051,1.560271e-06,0.001187,0.134843,2915.792499
simulation_124,10.10301475951371,0.0758435932723891,-2.334405009877305,0.5166080933473657,-0.8415885390080142,2639.016998703809,5.532363e-08,0.000146,0.09235,2085.972436
simulation_125,4.037390319579115,0.0817561668566501,-2.9443325062685166,4.043601350179296,-0.6450165421962291,878.8796205568198,3.436193e-07,0.000302,0.101079,2397.491285
simulation_126,7.011903132972872,0.09130133563612697,-2.9531253378326374,8.099668867867098,-1.4666457822479546,897.0523308933011,6.688573e-07,0.0006,0.114579,2674.440428
simulation_127,5.826211962951925,0.10148602297469013,-2.617007024000965,4.527329415531258,-0.9025118944004034,519.5365008422617,1.76311e-06,0.000916,0.125541,2829.862655
simulation_128,9.114180494072274,0.07207218940485581,-2.8915387024531625,10.94994509535196,-1.2397738680939476,779.0043159220147,9.894062e-08,7.707517e-05,0.091009,1794.888734
simulation_129,6.7455855333797725,0.09433413121695178,-3.0360162504270374,7.769797671748514,-0.9230057770550886,1085.8588940448933,6.391254e-07,0.000694,0.117976,2730.570834
simulation_130,7.725400509257947,0.0946710764069749,-2.8440799226188616,10.281289351791743,-0.8637772290864679,698.8327710996025,1.010256e-06,0.000706,0.118337,2736.418748
simulation_131,6.518720553949957,0.10311592259856914,-2.6381246278876427,3.946906590194232,-1.3233901399891044,842.6796688435162,1.142783e-06,0.000963,0.127093,2847.701043
simulation_132,7.392093778814161,0.07798866701700624,-2.6737907076419045,6.998227083507197,-1.0420036447577177,498.2491372790767,3.933775e-07,0.000196,0.094964,2216.825009
simulation_133,7.660950673778722,0.10675822265034887,-2.877863063562472,8.21353071600878,-1.171196409673383,754.7563391428195,1.419001e-06,0.001071,0.130693,2883.567231
simulation_134,11.035934830081835,0.09370636658100083,-2.916063934385643,6.6512076903840125,-1.387098485777727,1661.583013874218,3.960079e-07,0.000658,0.117077,2706.351251
simulation_135,7.740175542714323,0.1066384614204158,-3.2346119797060213,6.382895122101343,-1.2593678597640634,2187.886327514895,4.876853e-07,0.001067,0.130561,2882.439806
simulation_136,7.418162477293789,0.08140044976391468,-2.875066082021144,1.2955224546692174,-1.2973586742014322,7206.605061186519,4.093467e-08,0.000295,0.100675,2387.673646
simulation_137,10.919907253408391,0.10403244573568583,-3.0416679008811016,3.4099914154335487,-1.3657354769076178,5388.609166737951,1.835353e-07,0.000989,0.128435,2853.871058
simulation_138,6.53629117519654,0.10859305211100127,-2.8458338687425355,4.246027280728934,-1.0715401601459276,1111.6916175309448,1.018268e-06,0.001132,0.132933,2900.497905
simulation_139,7.1307053588148275,0.08091819525525933,-2.690908143974469,0.3669668469177591,-1.4526236994953772,36488.97904350566,7.783172e-09,0.000284,0.10007,2372.491164
simulation_140,5.030856753666738,0.09315723378797612,-3.0739473018334706,2.3012163684780327,-1.4708592252357695,3742.3021186662386,1.758276e-07,0.000658,0.116695,2709.797036
simulation_141,9.352223480563886,0.07842880444077804,-3.0026227096663063,9.01083854159778,-0.7370220359778936,1032.3478835393605,2.034198e-07,0.00021,0.095772,2245.950322
simulation_142,10.113941516028536,0.09409137551844904,-2.5814461401796662,11.609049239780052,-1.2846127175015367,381.55549354487835,1.75597e-06,0.00067,0.117501,2712.698483
simulation_143,2.9021974556754064,0.10276458616688676,-2.8143128654694056,7.9843378981843856,-1.0192912735676545,652.0004278110063,1.458588e-06,0.000951,0.126765,2843.052371
simulation_144,10.289890105948878,0.07234070051946716,-3.0039355281224607,8.05443422729669,-1.3496973869066402,1402.8281661911735,5.767695e-08,8.091085e-05,0.091,1816.470736
simulation_145,8.182071223868892,0.07882146995800733,-3.247196326841291,0.5183505414857853,-1.3505497948106098,73443.37104414408,3.036353e-09,0.000223,0.096532,2270.028058
simulation_146,5.576334032232534,0.0837690194025093,-3.058586960117355,8.0439016830211,-1.1342734988498826,1145.843621717965,3.098154e-07,0.000355,0.10397,2462.314907
simulation_147,4.950932753309406,0.07826752708397823,-3.175168999594456,6.381228740348903,-0.9349509379815104,1498.1098238734398,1.368391e-07,0.000205,0.09547,2234.694646
simulation_148,6.7705529526724435,0.07466427073534823,-2.216360095320785,3.4438028721261267,-1.6464077646422524,502.5344765646577,2.407795e-07,0.000121,0.090653,2005.349195
simulation_149,10.18097171366099,0.09648831206934996,-2.9161834382077854,10.750951446092062,-1.1847967789948397,824.3549643707145,9.037369e-07,0.000745,0.120137,2752.550736
simulation_150,5.293871952939101,0.09162203028369068,-2.8230022960054697,1.5339224094450383,-1.717501843233229,5577.188749438852,1.093741e-07,0.00061,0.114955,2680.197952
simulation_151,9.65776820458661,0.08685928342213603,-2.5713565677813817,4.35794405061671,-1.3830048203997425,1118.013396431109,3.953441e-07,0.000442,0.108603,2547.522161
simulation_152,9.760732840117925,0.08392480827590962,-3.141451560470426,1.4765455458087318,-0.9796620903779508,8812.249819361254,4.039831e-08,0.000356,0.104495,2458.823745
simulation_153,10.026634027173335,0.07627418798483455,-2.8887082436155893,7.432366269043912,-0.954516356904342,1027.7792144584002,1.508106e-07,0.000155,0.093039,2111.421676
simulation_154,7.190496985338696,0.10654853663729268,-3.377490893795175,10.89930680704555,-0.84556925613935,2386.0161050475576,4.455125e-07,0.001063,0.130464,2881.61516
simulation_155,5.376171906768239,0.08435342879774134,-2.5221639198033023,5.199805613174768,-1.0483188367284642,343.97715472481826,1.07856e-06,0.000371,0.104839,2480.746023
